PERSONS,COUNTY,CITY,DAY,MONTH,YEAR,DAY_WEEK,HOUR,MINUTE,ROUTE,TWAY_ID,TWAY_ID2,LATITUDE,LONGITUD,FATALS,DRUNK_DR
1,127,0,1,1,2015,5,2,40,3,SR-5,,33.87865278,-87.32532778,1,1
1,83,0,1,1,2015,5,22,13,1,I-65,,34.91044167,-86.90870833,1,0
2,11,0,1,1,2015,5,1,25,2,US-SR 6,,32.14200556,-85.75845556,1,1
1,45,0,4,1,2015,1,0,57,3,SR-27,,31.43981389,-85.5103,1,1
2,45,2050,7,1,2015,4,7,9,2,US-SR 53,HINTON WATERS AVE,31.31933056,-85.5151,1,0
2,111,0,8,1,2015,5,9,59,4,CR-82,,33.43849444,-85.38926667,1,0
2,89,1730,8,1,2015,5,18,33,2,US-SR 2,,34.77304444,-86.52766389,1,0
1,73,350,3,1,2015,7,21,30,6,ISHKOODA RD SW,,33.46248889,-86.87090556,1,0
1,117,47,13,1,2015,3,8,0,2,US-SR 3,,33.2361,-86.81392222,1,0
2,33,0,5,1,2015,2,18,45,3,SR-184,,34.75836667,-87.60750833,1,0
2,83,0,7,1,2015,4,20,55,3,SR-2,,34.76602778,-86.87921111,1,0
6,95,1500,9,1,2015,6,6,35,2,US-SR 1,,34.36911667,-86.28887778,1,0
1,87,0,10,1,2015,7,10,55,4,CR-54,,32.55177222,-85.74464444,1,1
1,11,0,11,1,2015,1,6,13,2,US-SR 15,,32.16270833,-85.71402778,1,1
1,127,0,11,1,2015,1,8,30,4,CR-BYLER RD,,33.96415,-87.60569722,1,0
2,81,2340,13,1,2015,3,17,20,3,SR-51,,32.61823889,-85.37138333,1,0
1,97,0,14,1,2015,4,14,40,4,CR-IRVINGTON BAYOU LABATRE HWY,,30.50592778,-88.233925,1,0
2,1,0,16,1,2015,6,19,15,4,CR-40,,32.52434444,-86.67211944,1,1
1,121,0,19,1,2015,2,1,0,4,CR-ODENA ROAD N,,33.22930833,-86.26927778,1,0
3,121,2910,15,1,2015,5,17,10,6,EASTABOGA RD,HWY 275,33.46581111,-86.04999167,1,0
4,115,0,23,1,2015,6,13,48,1,I-20,,33.56601667,-86.52102222,1,0
2,127,0,26,1,2015,2,6,15,1,I-22,,33.84021944,-87.33155833,1,0
1,11,0,12,1,2015,2,21,20,3,SR-110,,32.21718333,-85.91875,1,1
1,5,0,2,1,2015,6,6,0,4,CR-32,,31.83945278,-85.2207,1,0
2,125,0,15,1,2015,5,3,5,4,CR-HOLLEY SPRINGS LANE,,33.08890556,-87.67459722,2,1
1,73,2052,13,1,2015,3,13,33,6,ALLISON-BONNETT MEMORIAL DR,FAIRFIELD BLVD,33.46460556,-86.941675,1,0
3,3,2890,17,1,2015,7,14,42,4,CR-BALDWIN BEACH EXPRESS,CR-32,30.47271111,-87.66633056,1,0
1,1,2540,10,1,2015,7,0,31,3,SR-14,,32.43066389,-86.51791667,1,1
1,69,0,23,1,2015,6,5,40,2,US-SR 12,THOMPSON RD,31.16130833,-85.19056111,1,0
5,21,0,24,1,2015,7,13,15,3,SR-22,,32.78083333,-86.4702,5,0
1,93,0,24,1,2015,7,16,38,4,CR-69,ATKINSON RD,33.92139167,-87.86725,1,0
